Header,GPSWeek,GPSTime,Heading,Pitch,Roll,gyrox,gyroy,gyroz,accx,accy,accz,Lattitude,Longitude,Altitude,Ve,Vn,Vu,V,NSV1,NSV2,Status,Age,Warming*Cs,
$GPCHC,2125,120055.2,170.33,-2.8,-12.93,-3.98,-17.2,3.71,0.169,-0.037,0.736,32.02832606,118.8562169,28.29,-0.136,0.862,-0.181,0.873,20,17,41,1,2*77,
$GPCHC,2125,120055.4,170.33,6.45,-12.39,-4.52,-0.8,6.61,0.192,0.1012,0.874,32.02832761,118.8562166,28.29,-0.15,0.839,0.025,0.852,21,17,41,1,2*68,
$GPCHC,2125,120055.6,170.44,-6.54,-10.33,-8.6,-10.92,-2.31,0.1137,-0.0727,0.6234,32.02832922,118.8562164,28.28,-0.086,0.908,-0.072,0.913,21,17,41,1,2*5C,
$GPCHC,2125,120055.8,170.44,2.58,-3.72,4.88,-25.63,-0.79,0.0556,0.0386,0.8556,32.02833074,118.8562161,28.29,-0.075,0.828,0.077,0.831,21,17,41,2,2*67,
$GPCHC,2125,120056.4,171.83,-0.89,-11.25,2.38,-15.1,-6.91,0.1512,-0.012,0.7596,32.02833536,118.8562157,28.28,-0.021,0.843,0.069,0.844,20,17,41,1,2*5D,
$GPCHC,2125,120056.8,175.9,-0.51,2.99,-1.71,-10.47,-8.91,-0.073,-0.0125,1.3974,32.0283384,118.8562156,28.27,0.007,0.839,-0.059,0.839,20,17,41,1,2*4E,
$GPCHC,2125,120057,176.19,2.03,-6.42,-4.77,-29.35,-7.48,0.1164,0.0368,1.0341,32.02833995,118.8562157,28.26,0.051,0.881,-0.037,0.883,20,17,41,1,2*45,
$GPCHC,2125,120057.2,179.87,0.81,14.46,-5.57,-17.02,-4.45,-0.2786,0.0158,1.0805,32.02834146,118.8562159,28.26,0.131,0.832,0.067,0.843,20,16,41,1,2*55,
$GPCHC,2125,120057.6,181.76,-2.54,4.58,0,-4.41,-2.26,-0.0837,-0.0465,1.0455,32.0283446,118.8562161,28.25,0.026,0.937,-0.046,0.938,20,16,41,1,2*75,
$GPCHC,2125,120057.8,182.12,1.9,7.04,-2.12,-0.96,-0.02,-0.1153,0.0311,0.9331,32.02834621,118.8562163,28.26,0.059,0.893,-0.01,0.895,20,16,41,1,2*72,
$GPCHC,2125,120058,182.34,-2.94,7.26,5.75,0.57,2.64,-0.1352,-0.0549,1.0605,32.02834784,118.8562164,28.26,-0.007,0.906,-0.05,0.906,20,16,41,1,2*78,
$GPCHC,2125,120058.4,180.56,2.22,6.62,1.39,19.27,1.88,-0.1718,0.0577,1.4797,32.02835096,118.8562165,28.26,0.021,0.89,0.038,0.89,21,17,41,1,2*46,
